MeSH Code	MeSH Name	ICD10 Code	ICD10 Name
C562642	Amyloidosis, Primary Cutaneous	L99.0	Amyloidosis of skin
D020955	Striatonigral Degeneration	G23.2	Striatonigral degeneration
D020329	Essential Tremor	G25.0	Essential tremor
C562694	Epilepsy, Idiopathic Generalized	G40.3	Generalized idiopathic epilepsy and epileptic syndromes
D020434	Abducens Nerve Diseases	H49.2	Sixth [abducent] nerve palsy
C564661	Abducens Palsy	H49.2	Sixth [abducent] nerve palsy
D050032	Postpartum Thyroiditis	O90.5	Postpartum thyroiditis
C562716	Delta-Beta Thalassemia	D56.2	Delta-beta thalassaemia
C580280	Congenital Methemoglobinemia	D74.0	Congenital methaemoglobinaemia
D020209	Cranial Nerve Injuries	S04	Injury of cranial nerves
D020209	Cranial Nerve Injuries	S04.9	Injury of unspecified cranial nerve
D000075322	Heavy Metal Poisoning	T56.8	Toxic effect of other metals
D000075322	Heavy Metal Poisoning	T56	Toxic effect of metals
D045908	Monkeypox	B04	Monkeypox
D020803	Encephalitis, Herpes Simplex	B00.4	Herpesviral encephalitis
C554498	AIDS-related Kaposi sarcoma	B21.0	HIV disease resulting in Kaposi's sarcoma
D055744	Invasive Pulmonary Aspergillosis	B44.0	Invasive pulmonary aspergillosis
D058285	Tungiasis	B88.1	Tungiasis [sandflea infestation]
D018887	Landau-Kleffner Syndrome	F80.3	Acquired aphasia with epilepsy [Landau-Kleffner]
D019142	Hemorrhagic Fever, Ebola	A98.4	Ebola virus disease
D002007	Brucellosis, Bovine	A23.1	Brucellosis due to Brucella abortus
D020261	Arsenic Poisoning	T57.0	Toxic effect of arsenic and its compounds
D021865	Isosporiasis	A07.3	Isosporiasis
D054747	Histiocytic Sarcoma	C96.3	True histiocytic lymphoma
D020019	Neurocysticercosis	B69.0	Cysticercosis of central nervous system
D020326	Migraine without Aura	G43.0	Migraine without aura [common migraine]
D025962	Septo-Optic Dysplasia	Q04.4	Septo-optic dysplasia
D020236	Amnesia, Transient Global	G45.4	Transient global amnesia
D049970	Graves Ophthalmopathy	H06.2	Dysthyroid exophthalmos
D061387	Chlamydial Pneumonia	J16.0	Chlamydial pneumonia
D062788	Adenomyosis	N80.0	Endometriosis of uterus
D048909	Diabetes Complications	E14.8	Unspecified diabetes mellitus with unspecified complications
C537005	Complement component 5 deficiency	L21.1	Seborrhoeic infantile dermatitis
C536693	Wells syndrome	L98.3	Eosinophilic cellulitis [Wells]
D019247	HIV Wasting Syndrome	B22.2	HIV disease resulting in wasting syndrome
C535358	Choroidal sclerosis	H31.1	Choroidal degeneration
D020805	Central Nervous System Viral Diseases	A89	Unspecified viral infection of central nervous system
D020805	Central Nervous System Viral Diseases	A80-A89.9	Viral infections of the central nervous system
C531698	Intestinal helminthiasis	B82.0	Intestinal helminthiasis, unspecified
C538494	Aplastic anemia, idiopathic	D61.3	Idiopathic aplastic anaemia
D010698	Phobic Disorders	F40	Phobic anxiety disorders
D010698	Phobic Disorders	F40.9	Phobic anxiety disorder, unspecified
D020330	Bell Palsy	G51.0	Bell's palsy
D019214	Gingival Overgrowth	K06.1	Gingival enlargement
D019534	Shoulder Impingement Syndrome	M75.4	Impingement syndrome of shoulder
C557675	Congenital tracheomalacia	Q32.0	Congenital tracheomalacia
D002252	Carbon Tetrachloride Poisoning	T53.0	Carbon tetrachloride
D020821	Dystonic Disorders	G24	Dystonia
D020821	Dystonic Disorders	G24.9	Dystonia, unspecified
C562856	Cerebral Palsy, Ataxic, Autosomal Recessive	G80.4	Ataxic cerebral palsy
D016553	Purpura, Thrombocytopenic, Idiopathic	D69.3	Idiopathic thrombocytopenic purpura
D000848	Anodontia	K00.0	Anodontia
C535456	Chronic recurrent multifocal osteomyelitis	M86.3	Chronic multifocal osteomyelitis
D001919	Bradycardia	R00.1	Bradycardia, unspecified
C562950	Cleft Soft Palate	Q35.3	Cleft soft palate
C562989	Amastia	Q83.0	Congenital absence of breast with absent nipple
C536769	46, XY female	Q97.3	Female with 46,XY karyotype
D000070625	Brain Injuries, Diffuse	S06.2	Diffuse brain injury
D052878	Urolithiasis	N20-N23.9	Urolithiasis
C537268	Formaldehyde poisoning	T59.2	Formaldehyde
D052577	Infant, Extremely Low Birth Weight	P07.0	Extremely low birth weight
D020206	Subarachnoid Hemorrhage, Traumatic	S06.6	Traumatic subarachnoid haemorrhage
D055035	Spinal Osteochondrosis	M42	Spinal osteochondrosis
D055035	Spinal Osteochondrosis	M42.9	Spinal osteochondrosis, unspecified
D020422	Mononeuropathies	G58.9	Mononeuropathy, unspecified
C537375	Multifocal fibrosclerosis	M35.5	Multifocal fibrosclerosis
D003704	Dementia	F03	Unspecified dementia
D009421	Nervous System Malformations	Q00-Q07.9	Congenital malformations of the nervous system
D009421	Nervous System Malformations	Q07.9	Congenital malformation of nervous system, unspecified
D058866	Osteoporotic Fractures	M80	Osteoporosis with pathological fracture
D058866	Osteoporotic Fractures	M80.9	Unspecified osteoporosis with pathological fracture
D019636	Neurodegenerative Diseases	G31.9	Degenerative disease of nervous system, unspecified
D019698	Hepatitis C, Chronic	B18.2	Chronic viral hepatitis C
D019964	Mood Disorders	F39	Unspecified mood [affective] disorder
D019964	Mood Disorders	F30-F39.9	Mood [affective] disorders
D020896	Hypovolemia	E86	Volume depletion
D038223	Post-Concussion Syndrome	F07.2	Postconcussional syndrome
C563016	Pseudofolliculitis Barbae	L73.1	Pseudofolliculitis barbae
D010859	Pigmentation Disorders	L81.9	Disorder of pigmentation, unspecified
D020967	Myotonic Disorders	G71.1	Myotonic disorders
D020516	Brachial Plexus Neuropathies	G54.0	Brachial plexus disorders
D002181	Candidiasis, Vulvovaginal	B37.3	Candidiasis of vulva and vagina
D011843	Radiculopathy	M54.1	Radiculopathy
D046248	Pyloric Stenosis, Hypertrophic	Q40.0	Congenital hypertrophic pyloric stenosis
D020205	Skull Fracture, Basilar	S02.1	Fracture of base of skull
D020234	Gait Ataxia	R26.0	Ataxic gait
D020338	Vestibular Neuronitis	H81.2	Vestibular neuronitis
D020338	Vestibular Neuronitis	A88.1	Epidemic vertigo
D020428	Femoral Neuropathy	G57.2	Lesion of femoral nerve
D020431	Olfactory Nerve Diseases	G52.0	Disorders of olfactory nerve
D020435	Glossopharyngeal Nerve Diseases	G52.1	Disorders of glossopharyngeal nerve
C563161	Hypertensive Nephropathy	I12	Hypertensive renal disease
D007021	Hypospadias	Q54	Hypospadias
D007021	Hypospadias	Q54.9	Hypospadias, unspecified
D006502	Budd-Chiari Syndrome	I82.0	Budd-Chiari syndrome
D020178	Sleep Disorders, Circadian Rhythm	G47.2	Disorders of the sleep-wake schedule
D009202	Cardiomyopathies	I42	Cardiomyopathy
D009202	Cardiomyopathies	I42.9	Cardiomyopathy, unspecified
D013967	Thyroiditis, Autoimmune	E06.3	Autoimmune thyroiditis
D031222	Patellar Dislocation	S83.0	Dislocation of patella
D001342	Autonomic Nervous System Diseases	G90.9	Disorder of autonomic nervous system, unspecified
D001342	Autonomic Nervous System Diseases	G90	Disorders of autonomic nervous system
D006833	Hydrarthrosis	M25.4	Effusion of joint
D045888	Ganglion Cysts	M67.4	Ganglion
C536523	Vagina, absence of	Q52.0	Congenital absence of vagina
D058745	Iliotibial Band Syndrome	M76.3	Iliotibial band syndrome
D001289	Attention Deficit Disorder with Hyperactivity	F90	Hyperkinetic disorders
D001289	Attention Deficit Disorder with Hyperactivity	F90.9	Hyperkinetic disorder, unspecified
D004887	Erysipeloid	A26	Erysipeloid
D004887	Erysipeloid	A26.9	Erysipeloid, unspecified
D054438	Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative	C92.2	Subacute myeloid leukaemia
D058442	Capsule Opacification	H26.4	After-cataract
D006554	Hernia, Umbilical	Q79.2	Exomphalos
D061220	Oculomotor Nerve Injuries	S04.1	Injury of oculomotor nerve
D007897	Leishmaniasis, Mucocutaneous	B55.2	Mucocutaneous leishmaniasis
D034381	Hearing Loss	H91.9	Hearing loss, unspecified
C562831	Atrioventricular Septal Defect	Q21.2	Atrioventricular septal defect
C536332	Polydactyly preaxial type 1	Q69.1	Accessory thumb(s)
D014514	Ureteral Calculi	N20.1	Calculus of ureter
D012859	Sjogren's Syndrome	M35.0	Sicca syndrome [Sjogren]
D055154	Dysphonia	R49.0	Dysphonia
D011020	Pneumonia, Pneumocystis	B59	Pneumocystosis
C536482	Hereditary renal agenesis	Q60.1	Renal agenesis, bilateral
D000066550	Physical Abuse	T74.1	Physical abuse
D052177	Kidney Diseases, Cystic	Q61	Cystic kidney disease
D052177	Kidney Diseases, Cystic	Q61.9	Cystic kidney disease, unspecified
D006848	Testicular Hydrocele	N43.3	Hydrocele, unspecified
D000074742	Median Arcuate Ligament Syndrome	I77.4	Coeliac artery compression syndrome
D054850	Osteophyte	M25.7	Osteophyte
D054877	Wolf-Hirschhorn Syndrome	Q93.3	Deletion of short arm of chromosome 4
D052065	Vaginismus	N94.2	Vaginismus
D006528	Carcinoma, Hepatocellular	C22.0	Liver cell carcinoma
D052018	Bulimia Nervosa	F50.2	Bulimia nervosa
D065631	Rhinitis, Allergic	J30.4	Allergic rhinitis, unspecified
D057049	Thrombotic Microangiopathies	M31.1	Thrombotic microangiopathy
C535788	Spondyloepiphyseal dysplasia, congenita	Q77.7	Spondyloepiphyseal dysplasia
D057767	Kashin-Beck Disease	M12.1	Kaschin-Beck disease
D002543	Cerebral Hemorrhage	I61	Intracerebral haemorrhage
D002543	Cerebral Hemorrhage	I61.9	Intracerebral haemorrhage, unspecified
D011470	Prostatic Hyperplasia	N40	Hyperplasia of prostate
D000074270	Meconium Ileus	P75	Meconium ileus
D009190	Myelodysplastic Syndromes	D46	Myelodysplastic syndromes
D009190	Myelodysplastic Syndromes	D46.9	Myelodysplastic syndrome, unspecified
D001171	Arthritis, Juvenile	M08	Juvenile arthritis
D001171	Arthritis, Juvenile	M08.9	Juvenile arthritis, unspecified
D014890	Granulomatosis with Polyangiitis	M31.3	Wegener's granulomatosis
D007589	Job Syndrome	D82.4	Hyperimmunoglobulin E [IgE] syndrome
D000076385	Diverticular Diseases	K57	Diverticular disease of intestine
D000169	Acrodermatitis	L44.4	Infantile papular acrodermatitis [Giannotti-Crosti]
D000306	Adrenal Cortex Neoplasms	C74.0	Cortex of adrenal gland
D000310	Adrenal Gland Neoplasms	C74	Malignant neoplasm of adrenal gland
D000310	Adrenal Gland Neoplasms	C74.9	Malignant neoplasm of adrenal gland, unspecified
D000375	Aging	R54	Senility
D000505	Alopecia	L64	Androgenic alopecia
D000505	Alopecia	L64.9	Androgenic alopecia, unspecified
D000505	Alopecia	L66.0	Pseudopelade
D000707	Anaphylaxis	T78.2	Anaphylactic shock, unspecified
D001007	Anxiety	R45.0	Nervousness
D001019	Aortic Rupture	I71.8	Aortic aneurysm of unspecified site, ruptured
D001063	Appendiceal Neoplasms	C18.1	Appendix
D001184	Articulation Disorders	F80.0	Specific speech articulation disorder
D001661	Biliary Tract Neoplasms	C24.9	Malignant neoplasm of biliary tract, unspecified
D001749	Urinary Bladder Neoplasms	C67	Malignant neoplasm of bladder
D001749	Urinary Bladder Neoplasms	C67.9	Malignant neoplasm of bladder, unspecified
D001932	Brain Neoplasms	C71.9	Malignant neoplasm of brain, unspecified
D001932	Brain Neoplasms	C71	Malignant neoplasm of brain
D001932	Brain Neoplasms	D33.2	Benign neoplasm of brain, unspecified
D002037	Bundle-Branch Block	I44.7	Left bundle-branch block, unspecified
D002037	Bundle-Branch Block	I45.0	Right fascicular block
D002062	Bursitis	M75.0	Adhesive capsulitis of shoulder
D002389	Catatonia	F06.1	Organic catatonic disorder
D002430	Cecal Neoplasms	C18.0	Cecum
D002528	Cerebellar Neoplasms	C71.6	Cerebellum
D002537	Intracranial Arteriosclerosis	I67.2	Cerebral atherosclerosis
D002538	Intracranial Arteriovenous Malformations	Q28.2	Arteriovenous malformation of cerebral vessels
D002547	Cerebral Palsy	G80.0	Spastic cerebral palsy
D002547	Cerebral Palsy	G80.1	Spastic diplegia
D002547	Cerebral Palsy	G80.3	Dyskinetic cerebral palsy
D002659	Child Development Disorders, Pervasive	F84	Pervasive developmental disorders
D002659	Child Development Disorders, Pervasive	F84.9	Pervasive developmental disorder, unspecified
D002819	Chorea	I02	Rheumatic chorea
D003110	Colonic Neoplasms	C18.9	Malignant neoplasm of colon, unspecified
D003110	Colonic Neoplasms	C18	Malignant neoplasm of colon
D003221	Confusion	R41.0	Disorientation, unspecified
D003289	Convalescence	Z54	Convalescence
D003390	Cranial Nerve Neoplasms	D33.3	Benign neoplasm of cranial nerves
D052858	Cystocele	N81.1	Cystocele
D003607	Dacryocystitis	H04.0	Dacryoadenitis
D003639	Hearing Loss, Sudden	H91.2	Sudden idiopathic hearing loss
D003929	Diabetic Neuropathies	G59.0	Diabetic mononeuropathy
D003929	Diabetic Neuropathies	G63.2	Diabetic polyneuropathy
D004213	Dissociative Disorders	F44.1	Dissociative fugue
D004240	Diverticulum	K57	Diverticular disease of intestine
D004325	Dreams	F51.5	Nightmares
D004421	Dystonia	G24	Dystonia
D004476	Ectodermal Dysplasia	Q82.4	Ectodermal dysplasia (anhidrotic)
D004480	Ectromelia	Q73.1	Phocomelia, unspecified limb(s)
D004480	Ectromelia	Q73.0	Congenital absence of unspecified limb(s)
D004620	Embolism, Fat	T79.1	Fat embolism (traumatic)
D004646	Emphysema	J43	Emphysema
D004671	Encephalitis, Arbovirus	A83	Mosquito-borne viral encephalitis
D004671	Encephalitis, Arbovirus	A83.9	Mosquito-borne viral encephalitis, unspecified
D004714	Endometrial Hyperplasia	N85.1	Endometrial adenomatous hyperplasia
D004714	Endometrial Hyperplasia	N85.0	Endometrial glandular hyperplasia
D004932	Esophageal and Gastric Varices	I86.4	Gastric varices
D004932	Esophageal and Gastric Varices	I85	Esophageal varices
D004938	Esophageal Neoplasms	C15	Malignant neoplasm of esophagus
D004938	Esophageal Neoplasms	C15.9	Esophagus, unspecified
D005134	Eye Neoplasms	C69.9	Malignant neoplasm of eye, unspecified
D005413	Flatfoot	Q66.4	Talipes calcaneovalgus
D005706	Gallbladder Neoplasms	C23	Malignant neoplasm of gallbladder
D005715	Gambling	F63.0	Pathological gambling
D006101	Granuloma, Giant Cell	K10.1	Giant cell granuloma, central
D006177	Gynecomastia	P83.4	Breast engorgement of newborn
D006362	Heavy Chain Disease	C88.2	Gamma heavy chain disease
D006457	Hemoglobinuria, Paroxysmal	D59.5	Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]
D006467	Hemophilia A	D66	Hereditary factor VIII deficiency
D006478	Hemorrhagic Fever, American	A96.0	Junin hemorrhagic fever
D006478	Hemorrhagic Fever, American	A96.1	Machupo hemorrhagic fever
D006620	Hip Fractures	S72.2	Subtrochanteric fracture
D015160	Hydrops Fetalis	P56.0	Hydrops fetalis due to isoimmunization
D007007	Hypohidrosis	L74.4	Anhidrosis
D007012	Hypopharyngeal Neoplasms	C13.9	Malignant neoplasm of hypopharynx, unspecified
D007012	Hypopharyngeal Neoplasms	C13	Malignant neoplasm of hypopharynx
D007035	Hypothermia	T68	Hypothermia
D007174	Disruptive, Impulse Control, and Conduct Disorders	F63.2	Pathological stealing [kleptomania]
D007414	Intestinal Neoplasms	C26.0	Malignant neoplasm of intestinal tract, part unspecified
D007418	Intestinal Pseudo-Obstruction	K56.0	Paralytic ileus
D007580	Jejunal Neoplasms	C17.1	Jejunum
D007617	Kaposi Varicelliform Eruption	B00.0	Eczema herpeticum
D007662	Ketosis	R82.4	Acetonuria
D007775	Lactation Disorders	O92.4	Hypogalactia
D007822	Laryngeal Neoplasms	C32.9	Malignant neoplasm of larynx, unspecified
D007822	Laryngeal Neoplasms	C32	Malignant neoplasm of larynx
D007859	Learning Disorders	F81.9	Developmental disorder of scholastic skills, unspecified
D007889	Leiomyoma	D25	Leiomyoma of uterus
D007889	Leiomyoma	D25.9	Leiomyoma of uterus, unspecified
D007906	Lens Subluxation	H27.1	Dislocation of lens
D007969	Leukomalacia, Periventricular	P91.2	Neonatal cerebral leukomalacia
D008048	Lip Neoplasms	C00.9	Malignant neoplasm of lip, unspecified
D008048	Lip Neoplasms	C00	Malignant neoplasm of lip
D008103	Liver Cirrhosis	K74.0	Hepatic fibrosis
D008113	Liver Neoplasms	C22.9	Malignant neoplasm of liver, unspecified
D008178	Lupus Erythematosus, Cutaneous	L93.1	Subacute cutaneous lupus erythematosus
D008209	Lymphedema	Q82.0	Hereditary lymphedema
D008260	Macroglossia	Q38.2	Macroglossia
D008479	Mediastinal Neoplasms	C38.3	Malignant neoplasm of mediastinum, part unspecified
D008548	Melanosis	L81.1	Chloasma
D008548	Melanosis	L81.2	Freckles
D008577	Meningeal Neoplasms	D32.9	Benign neoplasm of meninges, unspecified
D008577	Meningeal Neoplasms	D32	Benign neoplasm of meninges
D008577	Meningeal Neoplasms	C70.9	Malignant neoplasm of meninges, unspecified
D008577	Meningeal Neoplasms	C70	Malignant neoplasm of meninges
D009062	Mouth Neoplasms	C06.9	Malignant neoplasm of mouth, unspecified
D009155	Mutism	F94.0	Elective mutism
D009187	Myelitis	G37.4	Subacute necrotizing myelitis
D009221	Myositis Ossificans	M61.1	Myositis ossificans progressiva
D009290	Narcolepsy	G47.4	Narcolepsy and cataplexy
D009395	Nephritis, Interstitial	N15.9	Renal tubulo-interstitial disease, unspecified
D009395	Nephritis, Interstitial	N10-N16.9	Renal tubulo-interstitial diseases
D009436	Neural Tube Defects	Q00.1	Craniorachischisis
D009436	Neural Tube Defects	Q00.2	Iniencephaly
D009436	Neural Tube Defects	Q06.2	Diastematomyelia
D009450	Neurodermatitis	L28.0	Lichen simplex chronicus
D009798	Ocular Hypertension	H40.0	Glaucoma suspect
D015835	Ocular Motility Disorders	H51.2	Internuclear ophthalmoplegia
D010005	Osteoarthropathy, Secondary Hypertrophic	R68.3	Clubbing of fingers
D010048	Ovarian Cysts	N83.1	Corpus luteum cyst
D010166	Palliative Care	Z51.5	Palliative care
D010190	Pancreatic Neoplasms	C25	Malignant neoplasm of pancreas
D010190	Pancreatic Neoplasms	C25.9	Malignant neoplasm of pancreas, unspecified
D010265	Paraproteinemias	D47.2	Monoclonal gammopathy
D010307	Parotid Neoplasms	C07	Malignant neoplasm of parotid gland
D010383	Pellagra	E52	Niacin deficiency [pellagra]
D010412	Penile Neoplasms	C60.9	Malignant neoplasm of penis, unspecified
D010412	Penile Neoplasms	C60	Malignant neoplasm of penis
D010520	Aggressive Periodontitis	K05.4	Periodontosis
D010610	Pharyngeal Neoplasms	C14.0	Malignant neoplasm of pharynx, unspecified
D010612	Pharyngitis	R07.0	Pain in throat
D010661	Phenylketonurias	E70.0	Classical phenylketonuria
D010787	Photosensitivity Disorders	L57.1	Actinic reticuloid
D010854	Piedra	B36.2	White piedra
D010854	Piedra	B36.3	Black piedra
D011015	Pneumonia, Aspiration	J95.4	Mendelson's syndrome
D011128	Polyradiculopathy	G83.4	Cauda equina syndrome
D011293	Premenstrual Syndrome	N94.3	Premenstrual tension syndrome
D011471	Prostatic Neoplasms	C61	Malignant neoplasm of prostate
D020018	Sexual Dysfunctions, Psychological	F52.3	Orgasmic dysfunction
D020018	Sexual Dysfunctions, Psychological	F52.0	Lack or loss of sexual desire
D011618	Psychotic Disorders	F25.9	Schizoaffective disorder, unspecified
D011618	Psychotic Disorders	F25	Schizoaffective disorders
D011681	Pupil Disorders	H57.0	Anomalies of pupillary function
D011928	Raynaud Disease	I73.0	Raynaud's syndrome
D012131	Respiratory Insufficiency	J96.9	Respiratory failure, unspecified
D012135	Respiratory Sounds	R06.1	Stridor
D012135	Respiratory Sounds	R06.2	Wheezing
D015356	Retinal Artery Occlusion	H34.1	Central retinal artery occlusion
D012288	Rickettsiaceae Infections	A79.1	Rickettsialpox due to Rickettsia akari
D012640	Seizures	G40.6	Grand mal seizures, unspecified (with or without petit mal)
D012734	Disorders of Sex Development	Q56.3	Pseudohermaphroditism, unspecified
D012742	Sex Offenses	T74.2	Sexual abuse
D012772	Shock, Septic	A48.3	Toxic shock syndrome
D012811	Sigmoid Neoplasms	C18.7	Malignant neoplasm of sigmoid colon
D012872	Skin Diseases, Vesiculobullous	L13.9	Bullous disorder, unspecified
D012872	Skin Diseases, Vesiculobullous	L10-L14.9	Bullous disorders
D012872	Skin Diseases, Vesiculobullous	L13.1	Subcorneal pustular dermatitis
D012878	Skin Neoplasms	C44.9	Malignant neoplasm of skin, unspecified
D013064	Speech Disorders	F98.6	Cluttering
D013070	Speech Therapy	Z50.5	Speech therapy
D013120	Spinal Cord Neoplasms	C72.0	Malignant neoplasm of spinal cord
D013120	Spinal Cord Neoplasms	D33.4	Benign neoplasm of spinal cord
D013132	Spinocerebellar Degenerations	G11	Hereditary ataxia
D013132	Spinocerebellar Degenerations	G11.9	Hereditary ataxia, unspecified
D013132	Spinocerebellar Degenerations	G11.1	Early-onset cerebellar ataxia
D013132	Spinocerebellar Degenerations	G11.2	Late-onset cerebellar ataxia
D013160	Splenic Neoplasms	C26.1	Spleen
D013180	Sprains and Strains	M62.6	Muscle strain
D013242	Sterilization	Z30.2	Sterilization
D013274	Stomach Neoplasms	C16	Malignant neoplasm of stomach
D013274	Stomach Neoplasms	C16.9	Malignant neoplasm of stomach, unspecified
D009057	Stomatognathic Diseases	K08.9	Disorder of teeth and supporting structures, unspecified
D013736	Testicular Neoplasms	C62	Malignant neoplasm of testis
D013736	Testicular Neoplasms	C62.9	Malignant neoplasm of testis, unspecified
D014029	Tobacco Use Disorder	F17.2	Mental and behavioral disorders due to use of tobacco, dependence syndrome
D014062	Tongue Neoplasms	C02.9	Malignant neoplasm of tongue, unspecified
D014067	Tonsillar Neoplasms	C09.9	Malignant neoplasm of tonsil, unspecified
D014067	Tonsillar Neoplasms	C09	Malignant neoplasm of tonsil
D014084	Tooth Avulsion	S03.2	Dislocation of tooth
D014516	Ureteral Neoplasms	C66	Malignant neoplasm of ureter
D014571	Urologic Neoplasms	C64-C68.9	Malignant neoplasms of urinary tract
D014594	Uterine Neoplasms	C55	Malignant neoplasm of uterus, part unspecified
D014625	Vaginal Neoplasms	C52	Malignant neoplasm of vagina
D014717	Vertigo	H81.4	Vertigo of central origin
D014832	Voice Disorders	R49	Voice disturbances
D014846	Vulvar Neoplasms	C51.9	Malignant neoplasm of vulva, unspecified
D014846	Vulvar Neoplasms	C51	Malignant neoplasm of vulva
D014884	Waterhouse-Friderichsen Syndrome	A39.1	Waterhouse-Friderichsen syndrome
D014947	Wounds and Injuries	T14.9	Injury, unspecified
D016109	Epidermolysis Bullosa, Junctional	Q81.1	Epidermolysis bullosa letalis
D016918	Arthritis, Reactive	M02.3	Reiter's disease
D016919	Meningitis, Cryptococcal	B45.1	Cerebral cryptococcosis
D020426	Sciatic Neuropathy	G57.0	Lesion of sciatic nerve
D020325	Migraine with Aura	G43.3	Complicated migraine
D020325	Migraine with Aura	G43.1	Migraine with aura [classical migraine]
D020941	Myasthenia Gravis, Neonatal	P94.0	Transient neonatal myasthenia gravis
D064386	Ankle Fractures	S82.5	Fracture of medial malleolus
D064386	Ankle Fractures	S82.6	Fracture of lateral malleolus
D017206	Strongylida Infections	B83.3	Syngamiasis
D017514	Pityriasis Lichenoides	L41.1	Pityriasis lichenoides chronica
D017514	Pityriasis Lichenoides	L41.0	Pityriasis lichenoides et varioliformis acuta
D018281	Cholangiocarcinoma	C22.1	Intrahepatic bile duct carcinoma
D018290	Cervical Intraepithelial Neoplasia	D06.9	Carcinoma in situ of cervix, unspecified
D018290	Cervical Intraepithelial Neoplasia	D06	Carcinoma in situ of cervix uteri
D020968	Brachial Plexus Neuritis	G54.5	Neuralgic amyotrophy
D020258	Neurotoxicity Syndromes	G92	Toxic encephalopathy
D019970	Cocaine-Related Disorders	F14.2	Mental and behavioral disorders due to use of cocaine, dependence syndrome
D019958	Attention Deficit and Disruptive Behavior Disorders	F91.3	Oppositional defiant disorder
D001098	Spider Bites	T63.3	Venom of spider
D018805	Sepsis	A41.9	Septicemia, unspecified
C537412	Burnett Schwartz Berberian syndrome	L66.4	Folliculitis ulerythematosa reticulata
D001930	Brain Injuries	S06.3	Focal brain injury
D010322	Parvoviridae Infections	B34.3	Parvovirus infection, unspecified
D012553	Schistosomiasis haematobia	B65.0	Schistosomiasis due to Schistosoma hematobium [urinary schistosomiasis]
D018856	Cystitis, Interstitial	N30.1	Interstitial cystitis (chronic)
D018882	Heat Stress Disorders	T67.2	Heat cramp
D060825	Cognitive Dysfunction	F06.7	Mild cognitive disorder
D001361	Avitaminosis	E56.9	Vitamin deficiency, unspecified
D062027	Linear IgA Bullous Dermatosis	L12.2	Chronic bullous disease of childhood
D001766	Blindness	H54.0	Blindness, both eyes
D020182	Sleep Apnea, Central	P28.3	Primary sleep apnea of newborn
D019572	Retinal Neoplasms	C69.2	Malignant neoplasm of retina
D019574	Optic Nerve Neoplasms	C72.3	Malignant neoplasm of optic nerve
D064424	Tobacco Use	Z72.0	Tobacco use
D000857	Olfaction Disorders	R43.0	Anosmia
D000857	Olfaction Disorders	R43.1	Parosmia
C536288	Thymic aplasia	D81.4	Nezelof's syndrome
D000072038	Cardiac Rehabilitation	Z50.0	Cardiac rehabilitation
D014897	Spinal Muscular Atrophies of Childhood	G12.0	Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]
D020244	Infarction, Middle Cerebral Artery	G46.0	Middle cerebral artery syndrome
D058625	End Stage Liver Disease	K72.1	Chronic hepatic failure
D020425	Radial Neuropathy	G56.3	Lesion of radial nerve
D020233	Gait Disorders, Neurologic	R26.1	Paralytic gait
D020243	Infarction, Anterior Cerebral Artery	G46.1	Anterior cerebral artery syndrome
D020511	Neuromuscular Junction Diseases	G70.1	Toxic myoneural disorders
D020762	Infarction, Posterior Cerebral Artery	G46.2	Posterior cerebral artery syndrome
D000070636	Rotator Cuff Injuries	M75.1	Rotator cuff syndrome
D010051	Ovarian Neoplasms	C56	Malignant neoplasm of ovary
D026681	Vitamin B 6 Deficiency	E53.1	Pyridoxine deficiency
C537770	Anorchia	Q55.0	Absence and aplasia of testis
D000070558	Talipes	Q66.1	Talipes calcaneovarus
D005146	Facial Asymmetry	Q67.0	Facial asymmetry
D004414	Dyspareunia	N94.1	Dyspareunia
D001943	Breast Neoplasms	C50-C50.9	Malignant neoplasm of breast
D001943	Breast Neoplasms	C50	Malignant neoplasm of breast
D001943	Breast Neoplasms	C50.9	Malignant neoplasm of breast, unspecified
D004405	Dysentery, Bacillary	A03.9	Shigellosis, unspecified
D004405	Dysentery, Bacillary	A03	Shigellosis
D001929	Brain Edema	G93.6	Cerebral edema
D014078	Tooth Eruption	K00.7	Teething syndrome
D051437	Renal Insufficiency	N19	Unspecified renal failure
D051437	Renal Insufficiency	N17-N19.9	Renal failure
D003193	Compulsive Personality Disorder	F60.5	Anankastic personality disorder
C564356	Acute Tubulointerstitial Nephritis	N10	Acute tubulo-interstitial nephritis
D003324	Coronary Artery Disease	I25.1	Atherosclerotic heart disease
D058186	Acute Kidney Injury	N17.9	Acute renal failure, unspecified
D058186	Acute Kidney Injury	N17	Acute renal failure
C535565	Absent breasts and nipples	Q83.2	Absent nipple
D065634	Cerebrospinal Fluid Leak	G96.0	Cerebrospinal fluid leak
D063647	Fetal Alcohol Spectrum Disorders	Q86.0	Fetal alcohol syndrome (dysmorphic)
D063371	Myringosclerosis	H74.0	Tympanosclerosis
D000071056	Anorectal Malformations	K62.4	Stenosis of anus and rectum
D013953	Thymus Neoplasms	C37	Malignant neoplasm of thymus
D008607	Intellectual Disability	F73	Profound mental retardation
D065817	Congenital Microtia	Q16.0	Congenital absence of (ear) auricle
D065817	Congenital Microtia	Q17.2	Microtia
D001068	Feeding and Eating Disorders	F50	Eating disorders
D001068	Feeding and Eating Disorders	F50.9	Eating disorder, unspecified
